factor,rank,comp,average,sd,ratio,ava,avb,cumsum
Repro. Status,77,B113,0.0016938,0.004309,0.3931,0,0.099,0.92317
Repro. Status,78,B022,0.001683,0.006164,0.273,0,0.07821,0.92571
Repro. Status,79,B122,0.0016362,0.005979,0.2737,0,0.08307,0.92818
Repro. Status,80,B089,0.0016113,0.004601,0.3502,0.0361,0.06493,0.93062
Repro. Status,81,B124,0.0016013,0.004511,0.355,0.04105,0.04486,0.93304
Repro. Status,82,B025,0.0015281,0.004048,0.3775,0,0.07607,0.93534
Repro. Status,83,B084,0.0015272,0.004612,0.3311,0.085,0,0.93765
Repro. Status,84,B061,0.0015093,0.005528,0.273,0,0.07014,0.93993
Repro. Status,85,B098,0.0014753,0.003566,0.4137,0.09195,0,0.94216
Repro. Status,86,B116,0.0014566,0.004096,0.3556,0.03045,0.06114,0.94436
Repro. Status,87,B002,0.0014429,0.00406,0.3554,0.0334,0.04793,0.94654
Repro. Status,88,B010,0.0014345,0.005223,0.2747,0,0.088,0.94871
Repro. Status,89,B079,0.0014283,0.006268,0.2279,0.06815,0,0.95087
Repro. Status,90,B033,0.0013973,0.004214,0.3316,0.0896,0,0.95298
Repro. Status,91,B101,0.0013801,0.006047,0.2282,0.08035,0,0.95506
Repro. Status,92,B091,0.0013745,0.006021,0.2283,0.0819,0,0.95714
Repro. Status,93,B076,0.0013247,0.005805,0.2282,0.075,0,0.95914
Repro. Status,94,B100,0.0013144,0.003993,0.3292,0.0851,0,0.96113
Repro. Status,95,B082,0.0013101,0.005739,0.2283,0.07855,0,0.96311
Repro. Status,96,B040,0.0012626,0.005536,0.2281,0.0668,0,0.96502
Repro. Status,97,B034,0.0011914,0.004344,0.2743,0,0.06707,0.96682
Repro. Status,98,B001,0.0010777,0.004722,0.2282,0.0616,0,0.96844
Repro. Status,99,B045,0.0010116,0.003702,0.2732,0,0.04829,0.96997
Repro. Status,100,B018,0.0009971,0.004369,0.2282,0.05805,0,0.97148
Repro. Status,101,B077,0.0009841,0.004312,0.2282,0.05625,0,0.97297
Repro. Status,102,B110,0.0009744,0.00427,0.2282,0.0557,0,0.97444
Repro. Status,103,B115,0.0009709,0.004253,0.2283,0.05785,0,0.97591
